,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Cidreira,92,BR,1554498008,96,-30.17,-50.22,68.05,13.35
1,Busselton,0,AU,1554497888,54,-33.64,115.35,46.99,8.1
2,Kapaa,20,US,1554497898,61,22.08,-159.32,78.8,6.93
3,Albany,90,US,1554498009,80,42.65,-73.75,37,11.41
4,Xushan,0,CN,1554497914,87,30.18,121.25,60.01,2.24
5,Dalnegorsk,0,RU,1554498012,69,44.56,135.58,31.51,7.65
6,Soure,40,PT,1554497685,81,40.06,-8.63,50,5.82
7,Atuona,44,PF,1554498013,100,-9.8,-139.03,82.45,14.25
8,Rikitea,64,PF,1554498013,100,-23.12,-134.97,76.96,15.26
9,Dwarka,40,IN,1554496208,32,28.58,77.04,93,3.85
10,Freeport,90,BS,1554494400,74,26.54,-78.7,80.6,12.75
11,Qorveh,76,IR,1554498020,93,35.17,47.8,41.41,7.43
12,Carnot,0,CF,1554498020,74,4.94,15.87,76.15,3.74
13,Ponta do Sol,56,BR,1554498020,86,-20.63,-46,76.24,3.06
14,Jamestown,20,AU,1554498006,95,-33.21,138.6,52.84,7.2
15,Hilo,1,US,1554497729,61,19.71,-155.08,78.8,11.41
16,Leningradskiy,12,RU,1554498021,87,69.38,178.42,8.38,23.09
17,Arraial do Cabo,0,BR,1554494400,74,-22.97,-42.02,86,11.41
18,Punta Arenas,90,CL,1554496950,81,-53.16,-70.91,53.6,31.09
19,Narsaq,88,GL,1554493800,35,60.91,-46.05,39.2,29.97
20,Lebu,24,ET,1554497826,76,8.96,38.73,55.27,6.42
21,Izhma,0,RU,1554498022,83,65.01,53.91,21.25,2.62
22,Mataura,0,NZ,1554498009,90,-46.19,168.86,41,3
23,Evensk,0,RU,1554498023,80,61.92,159.24,31.78,8.32
24,Mar del Plata,12,AR,1554498023,37,-46.43,-67.52,71.2,28.34
25,Aripuana,20,BR,1554498021,68,-9.17,-60.63,86.5,2.28
26,College,1,US,1554497706,37,64.86,-147.8,37.99,12.75
27,Prince George,1,CA,1554497420,50,53.92,-122.75,55.99,3.36
28,Vaini,24,IN,1554498024,95,15.34,74.49,69.22,2.39
29,Wanganui,92,NZ,1554497702,60,-39.93,175.05,57,11.99
30,Avera,75,US,1554498006,64,33.19,-82.53,78.01,8.05
31,Soyo,92,AO,1554497788,96,-6.13,12.37,80.56,4.29
32,Yellowknife,20,CA,1554497523,48,62.45,-114.38,19.99,6.93
33,Halifax,20,CA,1554497765,25,44.65,-63.58,44.01,17.22
34,Hithadhoo,0,MV,1554497857,100,-0.6,73.08,84.07,6.2
35,Avarua,0,CK,1554496200,69,-21.21,-159.78,80.6,11.41
36,Tezu,0,IN,1554498026,79,27.93,96.16,52.75,1.72
37,Saskylakh,0,RU,1554498026,57,71.97,114.09,2.53,7.76
38,Nikolskoye,0,RU,1554497998,44,59.7,30.79,41,4.47
39,Fallon,40,US,1554494160,36,46.84,-105.12,62.6,14.99
40,Cherskiy,8,RU,1554497873,81,68.75,161.3,6.13,3.06
41,Dikson,36,RU,1554497795,98,73.51,80.55,17.2,12.68
42,Carnarvon,0,ZA,1554498028,57,-30.97,22.13,52.66,12.12
43,Puerto Ayora,40,EC,1554497106,70,-0.74,-90.35,84.2,11.41
44,Tura,44,IN,1554497822,94,25.52,90.21,65.98,3.4
45,Tuktoyaktuk,5,CA,1554494400,83,69.44,-133.03,-4.01,9.17
46,Tolaga Bay,68,NZ,1554498028,93,-38.37,178.3,58.42,6.08
47,Cape Town,0,ZA,1554497890,67,-33.93,18.42,62.01,18.34
48,Wahpeton,90,US,1554497837,71,46.27,-96.61,57.2,3.36
49,Severo-Kurilsk,88,RU,1554497865,96,50.68,156.12,33.04,6.64
50,Yulara,0,AU,1554494400,34,-25.24,130.99,64.4,5.82
51,Fortuna,75,ES,1554498020,81,38.18,-1.13,55.4,5.82
52,Tutoia,75,BR,1554494400,88,-2.76,-42.27,78.8,3.36
53,Nishihara,0,JP,1554498023,54,35.74,139.53,59,3.36
54,Butaritari,80,KI,1554497790,100,3.07,172.79,80.83,14.81
55,Lagoa,20,PT,1554497533,76,37.14,-8.45,53.6,14.99
56,Hamilton,90,CA,1554498017,93,43.26,-79.87,41,18.34
57,Tiksi,64,RU,1554498032,82,71.64,128.87,11.26,3.74
58,Bredasdorp,0,ZA,1554497234,81,-34.53,20.04,59,3.36
59,Srandakan,24,ID,1554498032,99,-7.94,110.25,70.75,2.73
60,Mezen,0,RU,1554498033,87,65.85,44.24,19.27,2.39
61,Guerrero Negro,0,MX,1554498033,62,27.97,-114.04,69.04,12.68
62,Toora-Khem,80,RU,1554498033,81,52.47,96.11,26.65,1.39
63,Eruwa,20,NG,1554494400,83,7.53,3.42,82.4,11.41
64,Mahebourg,75,MU,1554497941,94,-20.41,57.7,77,6.93
65,Klaksvik,32,FO,1554495600,81,62.23,-6.59,42.8,1.12
66,Touros,20,BR,1554494400,83,-5.2,-35.46,82.4,5.82
67,Longyearbyen,90,NO,1554493800,62,78.22,15.63,19.4,17.22
68,Dunmore Town,88,BS,1554498035,100,25.5,-76.65,75.52,15.7
69,Port Alfred,92,ZA,1554496926,86,-33.59,26.89,63,3
70,Ahipara,20,NZ,1554498035,96,-35.17,173.16,61.84,4.07
71,Padang,64,ID,1554498036,100,-0.92,100.36,81.28,5.08
72,Pangnirtung,90,CA,1554494400,62,66.15,-65.72,19.4,16.11
73,Lerwick,92,GB,1554495600,87,60.15,-1.15,46.4,6.93
74,Hobyo,92,SO,1554498037,88,5.35,48.53,79.48,8.77
75,Ushuaia,40,AR,1554494400,66,-54.81,-68.31,55.4,11.41
76,Iquique,0,CL,1554494400,60,-20.22,-70.14,75.2,10.29
77,Iqaluit,90,CA,1554496924,79,63.75,-68.52,23,9.17
78,Hermanus,8,ZA,1554497322,79,-34.42,19.24,62.01,4
79,Bethel,90,US,1554494160,63,60.79,-161.76,28.4,14.99
80,Saint-Augustin,0,FR,1554497845,58,44.83,-0.61,53.6,5.82
81,Hobart,75,AU,1554498014,63,-42.88,147.33,60.8,11.41
82,New Norfolk,75,AU,1554498014,63,-42.78,147.06,60.8,11.41
83,Guarapari,0,BR,1554497354,74,-20.67,-40.5,84.2,19.46
84,Tasiilaq,40,GL,1554493800,68,65.61,-37.64,28.4,24.16
85,Half Moon Bay,75,US,1554498031,82,37.46,-122.43,61,9.17
86,Tallahassee,75,US,1554497706,100,30.44,-84.28,72,4.29
87,Skjervoy,0,NO,1554493800,68,70.03,20.97,28.4,3.36
88,Yangjiang,8,CN,1554497842,100,21.85,111.96,72.46,4.29
89,Vestmannaeyjar,8,IS,1554498041,89,63.44,-20.27,39.34,6.98
90,Zyryanka,64,RU,1554498041,85,65.73,150.89,15.4,3.18
91,Bandarbeyla,0,SO,1554497888,100,9.49,50.81,79.84,2.62
92,Chokurdakh,36,RU,1554498041,72,70.62,147.9,10.81,5.08
93,Bluff,56,AU,1554498042,69,-23.58,149.07,67.42,8.55
94,Airai,64,TL,1554498042,90,-8.93,125.41,69.22,1.95
95,Clyde River,20,CA,1554494400,84,70.47,-68.59,1.4,17.22
96,Xining,0,CN,1554498020,57,36.62,101.77,21.16,3.18
97,Thohoyandou,36,ZA,1554498043,86,-22.97,30.46,67.15,5.19
98,Seymchan,44,RU,1554498044,87,62.93,152.39,16.66,2.95
99,Derzhavinsk,92,KZ,1554498044,88,51.1,66.31,37.99,6.53
100,Altamira,75,BR,1554494400,78,-3.2,-52.21,82.4,2.24
101,Bathsheba,75,BB,1554496680,88,13.22,-59.52,75.2,25.28
102,Talnakh,80,RU,1554497804,91,69.49,88.39,26.11,16.26
103,Paamiut,76,GL,1554498045,88,61.99,-49.67,35.02,32.48
104,Katsuura,20,JP,1554496445,54,33.93,134.5,57.2,13.87
105,Thompson,75,CA,1554494400,37,55.74,-97.86,21.2,9.17
106,Okha,24,RU,1554498046,85,53.59,142.95,22.42,11.01
107,Angoche,8,MZ,1554498046,100,-16.23,39.91,81.55,5.64
108,Nouadhibou,8,MR,1554494400,72,20.93,-17.03,66.2,20.8
109,Snezhnogorsk,0,RU,1554496200,73,69.19,33.23,19.4,2.24
110,Vilcun,0,CL,1554498029,46,-38.65,-72.23,72,8.05
111,Gobabis,0,NA,1554498047,38,-22.45,18.97,61.3,8.21
112,Kathu,0,ZA,1554497284,73,-27.7,23.05,62.01,7.54
113,Grindavik,20,IS,1554497517,74,63.84,-22.43,41,8.05
114,Ongole,0,IN,1554498048,59,15.51,80.05,74.44,7.43
115,Hauterive,0,FR,1554497167,50,46.09,3.45,53.6,12.75
116,Peleduy,36,RU,1554498049,82,59.63,112.75,16.84,3.96
117,Kruisfontein,8,ZA,1554498049,88,-34,24.73,59.77,7.2
118,Sao Joao da Barra,0,BR,1554494400,62,-21.64,-41.05,86,16.11
119,Thinadhoo,0,MV,1554498050,100,0.53,72.93,83.44,3.06
120,Muros,40,ES,1554498004,93,42.77,-9.06,46.99,5.82
121,Aykhal,88,RU,1554498050,83,65.95,111.51,18.55,3.06
122,Solano,80,PH,1554498050,96,16.52,121.18,67.42,1.95
123,Geraldton,90,CA,1554494400,80,49.72,-86.95,35.6,8.05
124,Along,12,IN,1554498051,87,28.17,94.8,55.9,1.95
125,Bilma,0,NE,1554498051,20,18.69,12.92,77.5,7.76
126,Birin,88,SY,1554498052,85,35.01,36.67,48.52,2.17
127,Castro,90,CL,1554494400,71,-42.48,-73.76,55.4,5.82
128,Mazurivka,0,UA,1554496200,57,49.27,24.21,50,8.95
129,San Jeronimo,0,PE,1554498053,25,-13.65,-73.37,62.2,2.51
130,Upernavik,32,GL,1554498053,100,72.79,-56.15,18.46,18.5
131,Rostovka,0,RU,1554496200,86,55.02,73.58,30.2,8.95
132,Lorengau,64,PG,1554497858,100,-2.02,147.27,81.28,2.73
133,Sabang,12,PH,1554498054,98,13.72,123.58,74.26,4.07
134,Caravelas,0,BR,1554497840,97,-17.73,-39.27,82.54,14.7
135,Margate,75,AU,1554497834,63,-43.03,147.26,60.8,11.41
136,Virtsu,0,EE,1554498004,56,58.57,23.51,43,4.7
137,Kattivakkam,40,IN,1554496200,83,13.22,80.32,84.2,4.7
138,Roald,0,NO,1554497701,93,62.58,6.12,44.6,4.7
139,Kodiak,1,US,1554498040,72,39.95,-94.76,66.99,11.41
140,Manaure,40,CO,1554494400,28,11.78,-72.45,95,20.8
141,Samarai,76,PG,1554498055,100,-10.62,150.67,79.57,7.76
142,Tsogni,68,GA,1554498055,100,-2.79,10.1,79.39,10.56
143,San Policarpo,92,PH,1554498056,98,12.18,125.51,78.67,9.44
144,Victoria,75,BN,1554496200,94,5.28,115.24,80.01,2.24
145,Shubarshi,8,KZ,1554498056,77,48.59,57.19,33.4,2.84
146,Ishigaki,68,JP,1554498057,100,24.34,124.16,71.92,6.53
147,Harihar,0,IN,1554498057,92,14.52,75.8,67.15,3.06
148,Kavieng,76,PG,1554498057,100,-2.57,150.8,83.35,4.63
149,Cayenne,75,GF,1554496200,83,4.94,-52.33,78.8,9.17
150,Ouanaminthe,40,HT,1554494400,61,19.55,-71.73,82.4,20.8
151,Verkhnyaya Inta,76,RU,1554498058,72,65.99,60.32,26.83,8.21
152,Egvekinot,24,RU,1554497982,77,66.32,-179.17,15.13,2.62
153,Salalah,75,OM,1554493800,74,17.01,54.1,80.6,4.7
154,Krasnyy Chikoy,24,RU,1554498059,62,50.36,108.75,6.94,2.17
155,Honningsvag,0,NO,1554493800,58,70.98,25.97,30.2,19.46
156,Fonte Boa,24,BR,1554498059,88,-2.51,-66.09,83.35,4.29
157,La Sarre,88,CA,1554497992,86,48.8,-79.2,33.04,11.9
158,Uribia,8,CO,1554498060,34,11.71,-72.27,91.18,18.39
159,Farafangana,64,MG,1554498060,100,-22.82,47.83,75.43,3.06
160,Baruun-Urt,0,MN,1554498060,54,46.68,113.28,12.34,5.75
161,Luderitz,0,NA,1554498060,75,-26.65,15.16,61.84,19.84
162,Ketchikan,90,US,1554494160,81,55.34,-131.65,50,9.17
163,Flinders,8,AU,1554497706,93,-34.58,150.85,63,4.7
164,Vardo,90,US,1554497825,100,39.62,-77.74,46.4,3.36
165,Linaon,88,PH,1554498061,97,9.95,122.45,82.27,6.98
166,Hofn,0,IS,1554498061,100,64.25,-15.21,37.18,15.03
167,Ugoofaaru,80,MV,1554498062,100,5.67,73,85.06,5.19
168,Roros,92,NO,1554495600,92,62.57,11.38,28.4,17.22
169,Severo-Yeniseyskiy,32,RU,1554498062,75,60.37,93.04,14.5,2.95
170,Chipinge,0,ZW,1554498062,93,-20.19,32.62,66.7,3.29
171,Sadovo,0,BG,1554496200,70,42.13,24.94,50,16.11
172,Tautira,20,PF,1554496945,62,-17.73,-149.15,87.8,6.93
173,Orchard Homes,75,US,1554498036,50,46.86,-114.05,57.99,2.39
174,Keetmanshoop,0,NA,1554494400,28,-26.57,18.15,73.4,8.05
175,Lithgow,0,AU,1554498039,100,-33.48,150.16,60.01,2.73
176,Alugan,92,PH,1554498064,98,12.22,125.48,78.67,9.44
177,Kroya,8,ID,1554498064,95,-6.5,108.06,70.75,2.84
178,Beloha,0,MG,1554498065,69,-25.17,45.06,77.14,8.21
179,Khatanga,0,RU,1554498065,72,71.98,102.47,10.72,14.81
180,Pevek,64,RU,1554498065,98,69.7,170.27,5.95,8.32
181,Usab,0,NA,1554498065,84,-21.93,15.87,62.2,2.28
182,Petropavlovsk-Kamchatskiy,75,RU,1554496200,64,53.05,158.65,37.4,6.71
183,Cilegon,75,ID,1554496951,88,-6.02,106.05,77,5.82
184,Jalu,92,LY,1554498067,87,29.03,21.55,65.08,5.41
185,Jiangyou,8,CN,1554498067,85,31.78,104.73,46.27,1.39
186,Ibb,8,YE,1554498067,94,13.97,44.18,55.9,2.39
187,Carutapera,92,BR,1554498068,90,-1.2,-46.02,79.21,7.2
188,Cowra,0,AU,1554496297,90,-33.84,148.69,54,5.19
189,Morros,75,BR,1554498000,78,-2.87,-44.04,82.4,3.36
190,Ossora,88,RU,1554497884,94,59.24,163.07,29.26,14.36
191,Gombong,12,ID,1554498068,93,-7.19,109.31,67.78,1.5
192,Ostrovnoy,0,RU,1554498069,82,68.05,39.51,20.08,13.24
193,Axim,0,GH,1554498069,97,4.87,-2.24,83.98,13.91
194,Candido Mendes,92,BR,1554498033,100,-1.45,-45.72,78.94,10
195,Cabo San Lucas,75,MX,1554497702,36,22.89,-109.91,87.01,9.17
196,Ulety,0,RU,1554498070,57,51.36,112.48,13.24,7.76
197,Chapais,1,CA,1554494400,40,49.78,-74.86,33.8,18.34
198,Mareeba,90,AU,1554497898,88,-16.99,145.42,75.2,11.41
199,Mana,0,RS,1554496200,50,43.52,20.24,57.2,10.29
200,Digha,8,IN,1554498070,97,21.62,87.51,81.37,13.02
201,Lokosovo,56,RU,1554498071,79,61.13,74.84,33.76,13.8
202,Rio Cuarto,0,AR,1554494400,30,-33.13,-64.35,71.6,4.7
203,Ribeira Grande,75,PT,1554494400,82,38.52,-28.7,59,18.34
204,Solnechnyy,88,RU,1554498071,85,50.72,136.64,28,8.21
205,Saint-Philippe,40,CA,1554498047,35,45.36,-73.48,41,7.09
206,Tuatapere,0,NZ,1554497407,92,-46.13,167.69,41,1.01
207,Rawson,8,AR,1554498072,23,-43.3,-65.11,75.34,7.43
208,Port Elizabeth,90,US,1554497769,87,39.31,-74.98,48.2,10.29
209,Barrow,0,AR,1554498072,48,-38.31,-60.23,67.15,6.42
210,Cockburn Town,48,TC,1554498073,95,21.46,-71.14,79.48,17.49
211,Hay River,40,CA,1554494400,34,60.82,-115.79,21.2,8.05
212,Sola,0,NO,1554498067,70,58.89,5.65,52,2.24
213,Olawa,0,PL,1554498004,41,50.95,17.29,60.8,9.17
214,Rome,0,IT,1554497776,81,41.89,12.48,52,3.36
215,Semey,20,KZ,1554498074,86,50.41,80.25,42.76,9.44
216,Yeniseysk,0,RU,1554498075,67,58.45,92.17,14.14,3.06
217,Georgetown,20,GY,1554494400,74,6.8,-58.16,87.8,13.87
218,Anuchino,44,RU,1554498075,85,43.97,133.06,28.72,6.2
219,Saint George,90,GR,1554493800,76,39.45,22.34,55.4,12.75
220,Jining,0,CN,1554497733,61,35.41,116.58,64,14.58
221,Port Hedland,0,AU,1554494400,83,-20.31,118.58,69.8,6.93
222,Effium,24,NG,1554498076,69,6.63,8.06,84.16,11.34
223,Naze,40,NG,1554494400,83,5.43,7.07,82.4,3.36
224,Puerto Colombia,0,CO,1554498029,55,10.99,-74.96,89.6,13.87
225,Meulaboh,68,ID,1554497886,100,4.14,96.13,80.02,5.41
226,Calabozo,0,VE,1554498077,31,8.92,-67.43,95.5,13.47
227,Marzuq,12,YE,1554498077,82,14.4,46.47,57.34,2.51
228,Olinda,75,EC,1554498059,70,-2.03,-79.75,84.2,3.36
229,Moussoro,0,TD,1554498078,31,13.64,16.49,77.23,5.64
230,Isangel,92,VU,1554498078,100,-19.55,169.27,75.88,13.24
231,Aiquile,88,BO,1554498078,88,-18.2,-65.18,53.92,4.41
232,Nurota,0,UZ,1554496200,76,40.56,65.69,51.8,4.7
233,Walvis Bay,24,NA,1554494400,82,-22.95,14.51,59,10.29
234,Faya,0,SA,1554494400,63,18.39,42.45,66.2,11.41
235,Zhezkazgan,0,KZ,1554498079,89,47.8,67.71,35.29,6.98
236,Vila Velha,20,BR,1554497291,70,-3.71,-38.6,84.2,4.7
237,Tekeli,92,KZ,1554498080,99,44.86,78.76,46.36,2.17
238,Bontang,44,ID,1554498080,100,0.12,117.47,78.31,3.06
239,Hassleholm,0,SE,1554498076,52,56.16,13.77,51.8,6.93
240,Maxixe,44,MZ,1554498081,100,-23.86,35.35,75.7,7.2
241,Ust-Omchug,76,RU,1554498081,76,61.13,149.63,14.14,2.51
242,Strezhevoy,0,RU,1554496200,50,60.73,77.6,33.8,8.95
243,Vila do Maio,20,CV,1554494400,64,15.13,-23.22,71.6,19.46
244,Port Blair,0,IN,1554498082,100,11.67,92.75,83.89,3.51
245,Greystones,75,IE,1554498032,93,53.14,-6.06,45,9.17
246,Norman Wells,5,CA,1554494400,44,65.28,-126.83,21.2,16.11
247,Panguna,20,PG,1554498083,90,-6.32,155.48,76.15,1.72
248,Sitka,64,US,1554498034,41,37.17,-99.65,75.99,20
249,Faanui,88,PF,1554497841,100,-16.48,-151.75,83.98,15.82
250,Saint Anthony,40,US,1554497761,54,43.97,-111.68,59,14.99
251,Usinsk,0,RU,1554497823,85,66,57.56,20.89,10.22
252,Nelson Bay,90,AU,1554497556,100,-32.72,152.14,62.6,5.82
253,Weligama,0,LK,1554498084,98,5.97,80.42,78.67,3.74
254,Alofi,75,NU,1554494400,88,-19.06,-169.92,80.6,5.82
255,Kutum,0,SD,1554498085,19,14.2,24.66,62.74,8.21
256,Kavaratti,0,IN,1554497854,100,10.57,72.64,84.07,4.63
257,Souillac,0,FR,1554498031,71,45.6,-0.6,53.01,4.7
258,Kaitangata,0,NZ,1554498008,87,-46.28,169.85,43,1.99
259,Catuday,88,PH,1554498086,100,16.29,119.81,76.51,4.74
260,Solginskiy,0,RU,1554498086,64,61.05,41.34,18.91,3.4
