,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
261,San Quintin,0,PH,1554498086,87,17.54,120.52,68.95,4.41
262,Douglas,0,US,1554498008,23,31.34,-109.55,66.99,3
263,Fort Nelson,90,CA,1554495060,73,58.81,-122.69,23,4.7
264,Pyrzyce,0,PL,1554498021,48,53.15,14.89,60.8,10.29
265,Kataysk,0,RU,1554498087,76,56.29,62.58,24.4,4.18
266,Waverley,56,AU,1554498074,94,-33.9,151.26,63,1.99
267,Kamenka,88,RU,1554496948,80,53.19,44.05,35.01,7.65
268,Hit,0,IQ,1554498088,83,33.64,42.83,56.35,14.47
269,Ponta Delgada,75,PT,1554498064,71,37.73,-25.67,57.2,20.8
270,Waddan,0,LY,1554498089,85,29.16,16.14,62.38,17.72
271,Altay,56,CN,1554498089,92,47.83,88.13,32.86,3.4
272,Chuy,92,UY,1554498089,88,-33.69,-53.46,66.34,18.95
273,Suzun,36,RU,1554498090,80,53.78,82.32,26.83,9.55
274,East London,92,ZA,1554498090,100,-33.02,27.91,67.51,7.76
275,Havre-Saint-Pierre,40,CA,1554497520,58,50.23,-63.6,28.4,29.97
276,Itarema,92,BR,1554498090,100,-2.92,-39.92,76.15,4.18
277,Sibolga,64,ID,1554498091,100,1.74,98.78,70.75,1.61
278,Atar,0,MR,1554498091,34,20.52,-13.05,68.05,6.98
279,Antofagasta,0,CL,1554494400,68,-23.65,-70.4,68,9.17
280,Grand-Santi,88,GF,1554498091,100,4.27,-54.38,75.25,2.51
281,Jati,0,PK,1554498092,85,24.35,68.27,74.44,7.76
282,Pak Phanang,0,TH,1554498092,100,8.35,100.2,80.92,4.74
283,Campbellton,8,CA,1554497918,55,48,-66.68,33.04,8.21
284,Noyabrsk,92,RU,1554498093,98,63.2,75.45,29.62,15.26
285,Ilulissat,75,GL,1554493800,55,69.22,-51.1,33.8,33.33
286,Dunedin,0,NZ,1554498061,88,-45.87,170.5,37.27,3.96
287,Destin,90,US,1554498011,100,30.39,-86.5,68,3.36
288,Tazovskiy,80,RU,1554498021,88,67.47,78.7,22.78,21.52
289,Arman,92,RU,1554498094,74,59.7,150.17,32.59,8.21
290,Talcahuano,0,CL,1554494400,55,-36.72,-73.12,64.4,12.75
291,Napasar,0,IN,1554498094,45,27.97,73.56,74.08,5.53
292,Coahuayana,0,MX,1554498095,25,18.62,-100.35,88.21,3.18
293,Coihaique,40,CL,1554494400,54,-45.58,-72.07,57.2,8.05
294,Normandin,90,CA,1554496680,25,48.84,-72.53,37.4,12.75
295,Goderich,88,CA,1554498089,89,43.74,-81.71,42.01,1.01
296,Mahibadhoo,0,MV,1554498096,100,3.78,72.97,84.34,4.29
297,Galle,75,US,1554498094,58,29.74,-97.91,84,5.82
298,Imbituba,40,BR,1554494400,78,-28.24,-48.67,77,10.29
299,Ormara,0,PK,1554498096,68,25.21,64.64,79.84,14.36
300,Berlevag,0,NO,1554493800,68,70.86,29.09,28.4,21.92
301,Belmonte,0,PT,1554498079,87,40.36,-7.35,42.01,8.99
302,Katrineholm,20,SE,1554498080,80,59,16.21,39,3.36
303,Saldanha,68,PT,1554498097,78,41.42,-6.55,39.97,7.99
304,Lavrentiya,0,RU,1554498098,99,65.58,-170.99,15.67,1.95
305,Torbay,75,CA,1554498090,63,47.66,-52.73,33.01,34.45
306,Manaus,40,BR,1554494400,70,-3.13,-59.98,87.8,6.93
307,Grand Gaube,75,MU,1554497641,94,-20.01,57.66,77,6.93
308,Longjiang,48,CN,1554498099,71,47.33,123.18,28.45,7.76
309,Quballat,40,TN,1554494400,62,36.54,9.66,53.6,5.82
310,Prenzlau,0,DE,1554498021,63,53.32,13.87,60.01,1.99
311,Ha Giang,92,VN,1554498099,98,22.83,104.99,63.46,1.72
312,Hirara,12,JP,1554498100,100,24.8,125.28,71.65,8.43
313,Qaanaaq,8,GL,1554498100,87,77.48,-69.36,3.97,9.66
314,Comodoro Rivadavia,0,AR,1554494400,60,-45.87,-67.48,73.4,29.97
315,Vagur,92,FO,1554498101,97,61.47,-6.81,45.73,19.28
316,Codrington,90,AU,1554498089,100,-28.95,153.24,63,4.7
317,Provideniya,0,RU,1554498101,100,64.42,-173.23,23.5,3.51
318,Wajir,80,KE,1554498101,40,1.75,40.07,87.85,9.22
319,Pathalgaon,0,IN,1554498102,69,22.56,83.46,66.43,2.28
320,Monywa,32,MM,1554498102,72,22.12,95.13,73.54,10.11
321,Arlit,0,NE,1554498102,20,18.74,7.39,80.65,5.08
322,Mehamn,0,NO,1554493800,68,71.03,27.85,30.2,21.92
323,Kuusamo,0,FI,1554495600,85,65.96,29.19,23,4.7
324,Hohhot,0,CN,1554494400,27,40.81,111.65,41,6.71
325,Hasaki,0,JP,1554497561,70,35.73,140.83,48.2,2.24
326,Beringovskiy,0,RU,1554498103,100,63.05,179.32,14.41,7.76
327,Nanortalik,76,GL,1554497820,90,60.14,-45.24,32.68,19.39
328,Forbes,0,AU,1554497313,75,-33.38,148.01,64.99,3
329,Lompoc,90,US,1554497901,67,34.64,-120.46,64,8.05
330,Kushiro,12,JP,1554498104,82,43.11,144.15,29.26,10.78
331,Sokolo,0,ML,1554498104,31,14.74,-6.12,86.86,7.99
332,Collie,0,AU,1554498088,55,-33.36,116.15,46.99,3.96
333,Fare,92,PF,1554498105,98,-16.7,-151.02,84.52,15.26
334,Jhang,12,PK,1554497886,59,33.67,72.7,73.99,8.66
335,Camoapa,40,NI,1554494400,44,12.38,-85.51,95,11.41
336,Raudeberg,0,NO,1554498010,87,61.99,5.14,46.4,5.82
337,Beian,0,NO,1554497996,65,63.66,9.57,41,19.46
338,Apodi,92,BR,1554497997,94,-5.66,-37.8,77.95,3.4
339,Ancud,90,CL,1554494400,71,-41.87,-73.83,55.4,5.82
340,Dingle,64,PH,1554498107,84,11,122.67,77.32,6.76
341,San Cristobal,40,EC,1554498090,56,-0.39,-78.55,71.6,13.87
342,Bonfim,8,GY,1554498108,35,3.36,-59.84,95.32,14.7
343,Buala,88,SB,1554498108,85,-8.15,159.59,84.16,3.4
344,Mumford,0,GH,1554497818,81,5.26,-0.76,82.54,8.66
345,Dubno,0,UA,1554495038,52,50.42,25.75,51.01,1.99
346,Ambovombe,0,MG,1554498109,87,-25.18,46.09,77.32,8.66
347,Nome,90,US,1554497925,78,30.04,-94.42,82.99,4.7
348,Broken Hill,0,AU,1554494400,59,-31.97,141.45,64.4,11.41
349,Anadyr,0,RU,1554494400,84,64.73,177.51,1.4,11.18
350,Haines Junction,80,CA,1554498110,77,60.75,-137.51,22.78,2.84
351,Gravdal,0,NO,1554498076,53,59.79,5.78,51.8,8.05
352,Ginda,68,IN,1554498110,90,30.69,78.49,48.79,2.17
353,Tara,12,JP,1554497976,64,33,130.15,53.01,2.06
354,Dakar,0,SN,1554496200,68,14.69,-17.45,68,23.04
355,Kralendijk,75,BQ,1554494100,62,12.15,-68.27,84.2,18.34
356,Montepuez,12,MZ,1554498111,76,-13.13,39,75.07,6.98
357,Liman,0,RU,1554498111,100,45.78,47.23,39.25,4.52
358,Kloulklubed,75,PW,1554493800,88,7.04,134.26,78.8,11.68
359,Khorixas,0,NA,1554498112,71,-20.37,14.96,62.11,2.73
360,Ayan,56,TR,1554498112,65,40.67,33.6,39.88,2.28
361,Fort Smith,1,US,1554498002,53,35.39,-94.42,75.99,4.7
362,Mount Isa,0,AU,1554496200,60,-20.73,139.49,73.4,3.36
363,Havoysund,0,NO,1554495600,63,71,24.66,30.2,16.11
364,Ballina,75,IE,1554497896,87,54.11,-9.15,46.99,6.93
365,Sennoy,92,RU,1554498114,94,52.16,46.96,32.95,2.95
366,Giyani,68,ZA,1554498114,93,-23.32,30.73,65.35,6.2
367,Willmar,75,US,1554498038,93,45.12,-95.04,59,3.36
368,Ewa Beach,40,US,1554497826,57,21.32,-158.01,82.4,5.82
369,Guayaramerin,20,BO,1554498115,68,-10.82,-65.36,86.95,2.95
370,Port Macquarie,48,AU,1554498005,100,-31.43,152.91,60.01,4.7
371,Udachnyy,88,RU,1554498115,80,66.42,112.4,19.81,2.51
372,Karratha,0,AU,1554498115,78,-20.74,116.85,62.74,3.74
373,Ingham,88,AU,1554498116,89,-18.65,146.16,78.76,14.03
374,Ixtapa,90,MX,1554498016,78,20.71,-105.21,80.01,13.87
375,Sakaraha,44,MG,1554498116,92,-22.91,44.53,68.14,2.62
376,Cochrane,0,CL,1554498116,46,-47.25,-72.57,57.88,4.74
377,Fort Madison,90,US,1554496500,81,40.63,-91.32,57.2,4.7
378,Bogandinskiy,0,RU,1554496200,80,56.89,65.89,32,11.18
379,Kendari,64,ID,1554498117,94,-3.99,122.52,71.83,2.62
380,Bubaque,0,GW,1554498117,78,11.28,-15.83,85.69,12.68
381,Viedma,0,AR,1554497901,31,-40.81,-62.99,71.83,15.14
382,Qaqortoq,88,GL,1554493800,35,60.72,-46.03,39.2,29.97
383,Gerede,0,TR,1554498118,80,40.8,32.2,28.81,2.28
384,Tono,12,JP,1554498118,69,39.35,141.52,35.2,8.43
385,Road Town,40,VG,1554498070,61,18.42,-64.62,84.2,11.41
386,San Patricio,92,PY,1554498119,81,-26.98,-56.83,65.44,6.2
387,Bikaner,0,IN,1554498119,47,28.02,73.32,72.55,4.18
388,Sao Gabriel da Cachoeira,20,BR,1554494400,66,-0.13,-67.09,91.4,5.82
389,Aksarka,0,RU,1554498120,80,66.56,67.8,22.15,21.3
390,Caconda,0,AO,1554498120,85,-13.73,15.06,64.45,4.63
391,Waraseoni,92,IN,1554498120,82,21.76,80.05,69.31,3.4
392,Rivers,90,CA,1554497160,86,50.03,-100.23,33.8,8.05
393,Burns Lake,8,CA,1554498125,57,54.23,-125.76,48.88,4.97
394,Bambous Virieux,75,MU,1554497941,94,-20.34,57.76,77,6.93
395,Natal,20,BR,1554494400,74,-5.81,-35.21,84.2,10.29
396,Suclayin,68,PH,1554498126,100,15.76,121.55,76.78,1.16
397,Sambava,88,MG,1554498126,100,-14.27,50.17,80.47,15.14
398,Colimes,75,EC,1554497377,70,-1.55,-80.01,84.2,3.36
399,Biritiba-Mirim,40,BR,1554498009,62,-23.57,-46.04,86,5.82
400,Dzerzhinsk,75,RU,1554496200,85,56.24,43.46,39.2,6.71
401,Narasannapeta,12,IN,1554498127,100,18.42,84.04,73.72,2.73
402,Puerto Baquerizo Moreno,75,EC,1554494400,88,-0.9,-89.6,80.6,6.93
403,Martapura,56,ID,1554496200,100,-3.41,114.85,77,4.7
404,Cap-aux-Meules,20,CA,1554494400,96,47.38,-61.86,32,23.04
405,Alamosa,1,US,1554497219,19,37.47,-105.87,57.2,6.93
406,Sobolevo,8,RU,1554498128,73,54.43,31.9,31.15,3.4
407,Bay Roberts,75,CA,1554498108,63,47.58,-53.28,33.01,34.45
408,Sept-Iles,20,CA,1554498095,26,50.2,-66.38,34,16.11
409,Chino Valley,1,US,1554498086,27,34.76,-112.45,71.01,10.29
410,Kayerkan,88,RU,1554498129,89,69.35,87.76,27.55,16.26
411,Abha,0,SA,1554494400,63,18.22,42.5,66.2,11.41
412,Soeng Sang,20,TH,1554497940,78,14.43,102.46,87.01,3.36
413,Rosa Zarate,36,EC,1554498130,99,0.33,-79.47,77.77,3.96
414,Kulhudhuffushi,64,MV,1554498130,100,6.62,73.07,84.61,3.4
415,Peniche,40,PT,1554498060,76,39.36,-9.38,53.01,10.29
416,Victor Harbor,75,AU,1554498126,59,-35.55,138.62,64.4,11.41
417,Pedregal,0,AR,1554494400,16,-32.96,-68.68,77,11.41
418,Vao,0,EE,1554498131,74,59.1,26.19,33.94,6.2
419,Dezful,100,IR,1554498132,87,32.38,48.4,61.84,7.76
420,Rocha,88,UY,1554497936,69,-34.48,-54.34,64.63,14.7
421,Lac du Bonnet,8,CA,1554498030,89,50.25,-96.06,30.99,4
422,Aklavik,5,CA,1554494400,56,68.22,-135.01,15.8,10.29
423,Zhigansk,56,RU,1554498133,79,66.77,123.37,20.98,6.42
424,Praya,20,ID,1554494400,100,-8.71,116.27,75.2,2.95
425,Gunnedah,40,AU,1554496200,82,-30.98,150.25,57.2,6.93
426,Changji,0,CN,1554498133,74,32.07,116.17,54.82,7.54
427,Wanning,40,AT,1554498126,76,48.64,13.53,50,6.93
428,La Ronge,20,CA,1554494400,54,55.1,-105.3,28.4,8.05
429,San Lazaro,75,BZ,1554494400,70,18.04,-88.66,87.8,14.99
430,Balkhash,32,KZ,1554497954,69,46.84,74.98,39.25,9.22
431,Tacuarembo,80,UY,1554498135,66,-31.73,-55.98,68.14,14.47
432,Whitehorse,90,CA,1554498083,62,60.72,-135.06,28.99,11.41
433,Alto Araguaia,36,BR,1554498136,86,-17.32,-53.22,77.95,2.95
434,Yatou,0,CM,1554494400,88,3.63,9.81,80.6,2.24
435,Bonavista,80,CA,1554498078,62,48.65,-53.11,32,20
436,Conde,0,BR,1554498137,90,-11.81,-37.61,80.92,8.55
437,Inirida,8,CO,1554498137,60,3.87,-67.92,89.74,2.28
438,Pringsewu,48,ID,1554498137,94,-5.36,104.98,73.36,2.17
439,Staraya Poltavka,68,RU,1554498137,91,50.48,46.48,37.81,9.44
440,Papara,20,BR,1554497291,70,-3.98,-38.73,84.2,4.7
441,Coquimbo,20,CL,1554494400,72,-29.95,-71.34,66.2,11.41
442,Loandjili,20,CG,1554494400,94,-4.77,11.87,80.6,4.7
443,Muli,0,IN,1554498139,53,22.62,71.45,77.77,11.12
444,Kyabe,0,TD,1554498139,19,9.45,18.94,79.84,8.66
445,Sussex,5,CA,1554496682,20,45.72,-65.51,43,9.17
446,Abaza,92,RU,1554498139,94,52.65,90.1,28.99,1.95
447,Tahe,48,CN,1554498139,66,52.34,124.71,24.94,4.29
448,Clinton,40,US,1554498082,71,41.84,-90.19,59,6.93
449,Nouakchott,0,MR,1554496200,68,18.08,-15.98,71.6,20.8
450,Pyapon,0,MM,1554498141,99,16.29,95.68,76.06,9.78
451,Pisco,0,PE,1554494400,30,-13.71,-76.2,71.6,9.17
452,Saint-Pierre,0,FR,1554498125,75,48.95,4.24,46.4,11.41
453,Pandan,68,PH,1554498142,100,11.72,122.09,79.12,12.35
454,Saint Helens,90,US,1554498137,81,45.86,-122.81,55,12.75
455,Adrar,0,DZ,1554494400,24,27.87,-0.29,71.6,13.87
456,Polovinnoye,0,RU,1554498143,70,54.79,65.99,19.9,2.84
457,Miles City,90,US,1554498026,32,46.41,-105.84,66.99,4.52
458,Ulagan,92,RU,1554498144,92,50.63,87.96,30.34,3.96
459,Komsomolskiy,76,RU,1554498144,83,67.55,63.78,20.8,17.94
460,Yakovlevka,12,RU,1554498144,73,44.43,133.47,32.32,6.08
461,Hualmay,20,PE,1554498145,77,-11.1,-77.61,73.72,5.19
462,Det Udom,88,TH,1554494400,83,14.9,105.08,77,3.4
463,Moron,8,VE,1554498145,47,10.49,-68.2,80.92,5.75
464,Tadine,0,NC,1554498145,97,-21.55,167.88,77.77,14.25
465,Kenitra,40,MA,1554498097,71,34.26,-6.57,53.01,5.82
466,Ronne,0,FR,1554496200,53,48.45,0.83,50,9.17
467,Awbari,92,LY,1554498146,65,26.59,12.77,69.85,9.78
468,Yumen,0,CN,1554498146,32,40.29,97.04,44.47,8.88
469,Rudnogorsk,48,RU,1554498147,68,57.27,103.75,14.86,5.08
470,Chadiza,24,ZM,1554498147,67,-14.06,32.43,70.21,6.64
471,Viile Satu Mare,76,RO,1554496200,44,47.67,22.95,60.8,5.82
472,Grand-Lahou,12,CI,1554498147,74,5.24,-5,82.9,7.65
473,Harper,40,US,1554498113,44,30.3,-99.24,84.99,9.17
474,Fairbanks,1,US,1554497910,37,64.84,-147.72,39.99,12.75
475,Maldonado,40,UY,1554494400,68,-34.91,-54.96,66.2,11.41
476,Matara,0,PE,1554498148,25,-13.74,-72.9,62.2,2.51
477,Khandyga,12,RU,1554498149,73,62.65,135.58,13.69,2.17
478,San Jose,20,PH,1554498027,96,15.79,120.99,68.41,2.06
479,Ruteng,0,ID,1554498151,94,-8.61,120.46,69.49,3.18
480,Sao Jose da Coroa Grande,44,BR,1554497867,82,-8.9,-35.15,81.19,7.43
481,Camacupa,12,AO,1554498151,87,-12.02,17.48,65.53,4.41
482,Mayya,0,RU,1554496200,73,61.74,130.28,21.2,4.47
483,Labuhan,20,ID,1554498152,96,-2.54,115.51,71.02,1.95
484,El Sauzal,75,AR,1554494400,68,-24.3,-64.96,66.2,4.7
485,Hami,0,CN,1554498153,58,42.84,93.51,43.39,4.18
486,Mackay,90,CA,1554497340,93,53.65,-115.58,35.6,6.93
487,Yokadouma,32,CM,1554498153,93,3.52,15.05,73.36,1.61
488,Chingirlau,64,KZ,1554498154,89,51.09,54.08,38.35,3.51
489,Monchegorsk,0,RU,1554498154,76,67.94,32.93,16.21,4.07
490,Lazaro Cardenas,40,MX,1554497882,18,28.39,-105.62,78.8,8.05
491,Orotukan,88,RU,1554498154,95,62.26,151.67,22.78,3.62
492,Charters Towers,36,AU,1554498155,90,-20.07,146.27,65.71,7.43
493,Laredo,1,US,1554498011,45,27.51,-99.51,88,14.99
494,Lebanon,90,US,1554497896,15,43.64,-72.25,48,4.52
495,Krasnoarmeysk,0,RU,1554497645,69,56.12,38.15,41,8.95
496,Bonthe,12,SL,1554498156,80,7.53,-12.5,81.91,4.18
497,Yenotayevka,36,RU,1554498156,88,47.24,47.04,43.03,5.08
498,Volsk,88,RU,1554498156,95,52.04,47.39,32.77,2.95
499,Nyurba,8,RU,1554498157,80,63.29,118.35,19.27,3.74
500,Gat,0,SN,1554496200,68,14.69,-16.54,68,23.04
501,Puerto Narino,75,CO,1554494400,100,-3.77,-70.38,78.8,4.7
502,Saint-Raphael,40,HT,1554494400,61,19.43,-72.2,82.4,20.8
503,Port-Gentil,20,GA,1554494400,94,-0.72,8.78,78.8,1.12
504,Rabat,40,MA,1554498097,71,34.02,-6.83,53.01,5.82
505,Seddon,48,NZ,1554498111,68,-41.67,174.07,55.99,17.27
506,Crotone,92,IT,1554498159,98,39.09,17.12,58.33,16.71
507,Kartaly,64,RU,1554498159,92,53.05,60.64,33.58,3.18
508,Lasa,20,CY,1554498103,87,34.92,32.53,57.2,6.93
509,Methoni,90,GR,1554497745,87,36.82,21.7,57.99,6.93
510,Alice Springs,8,AU,1554496200,44,-23.7,133.88,60.8,4.7
511,Fasa,75,IR,1554494400,77,28.94,53.65,60.8,4.85
512,Coswig,0,DE,1554498094,62,51.13,13.58,55.99,5.82
513,Grafton,24,AU,1554497920,100,-29.69,152.93,60.8,4.7
514,Srednekolymsk,32,RU,1554498161,79,67.46,153.71,10.45,3.4
515,Siniscola,0,IT,1554495600,75,40.57,9.69,46.4,3.36
516,Port Lincoln,8,AU,1554498161,98,-34.72,135.86,61.03,9.44
517,Gornopravdinsk,8,RU,1554497922,78,60.06,69.92,31.78,8.99
518,Katangli,80,RU,1554498162,91,51.71,143.23,25.57,13.35
519,Kahului,90,US,1554498083,69,20.89,-156.47,80.6,5.82
520,Puerto Madryn,0,AR,1554498041,47,-42.77,-65.04,73.36,11.23
521,Buchanan,75,LR,1554496200,94,5.88,-10.05,75.2,4.41
522,Bouake,20,CI,1554494400,78,7.69,-5.02,82.4,4.7
